143 яйкюд р.1             -808 -360 260.1
144 асдйю тх-2            -1416 -111 258.3
145 люврю нябеыемхъ       -877 -353 281.2
146 ыхр леренбхдхлнярх    -1423 -125 257.7
147 яйкюд р.2             -862 -360 260.2
148 яхцмюк цендегхв       2031 -1581 260.7
149 рнонкэ                -481 -535 269.4
150 рнонкэ                -433 -558 268.5
151 рс-154(гнмю пля)      -1504 -121 259.8
152 рс-134 мю ля          -1048 -313 261.0
153 юмреммю мю онфюпм     -766 -433 268.5
154 ыхр леренбхдхлнярх    -1557 -104 257.3
155 депебн(охурю)         -953 -365 267.4
156 депебн(аепегю)        -967 -360 269.1
157 люврю цпл59 р.1       -2193 150 268.6
158 депебн(охурю)         -942 -373 265.8
159 гдюмхе ющпнбнй р.1    -987 -367 259.7
160 гдюмхе ющпнбнй р.4    -1000 -367 259.8
161 йсярш р.2             -2646 317 254.3
162 рпсаю йнрекэмни йх    -726 -487 272.1
163 депебн(охурю)         -977 -383 268.0
164 рс-154 (гнмю пля)     -1505 -169 265.8
165 гдюмхе ющпнбнй р.2    -1036 -367 259.8
166 люврю цпл59 р.2       -2282 152 256.1
167 депебн(охурю)         -1038 -368 266.8
168 вюянбмъ               -3373 603 254.1
169 йсярш р.1             -2671 309 254.1
170 ярпнъыееяъ гдюмхе     -1071 -365 264.2
171 гдюмхе (ьрюа)         -805 -482 264.4
172 цпюмхжю депебэеб      -1116 -355 267.0
173 депебн(охурю)         -1058 -381 269.6
174 люврю нябеыемхъ       -1128 -352 281.1
175 ыхр леренбхдхлнярх    -1725 -105 257.2
176 ярпнъыееяъ гдюмхе     -1109 -365 264.2
177 янямю                 -1349 -266 263.3
178 юмреммю мю гд.ьрюа    -816 -489 275.9
179 цпюмхжю депебэеб      -1152 -352 267.1
180 мюакчдюрекэмюъ бшь    -1422 -241 264.0
181 гдюмхе юдл.ьрюа       -857 -481 264.4
182 люврю юмреммш ябъг    -1072 -398 275.5
183 депебн(кхярбеммхжю    -1182 -355 269.2
184 юмреммю мю мюдярп     -848 -494 269.4
185 люврю нябеыемхъ       -1193 -352 275.0
186 депебн                -1424 -260 266.9
187 янямю                 -1480 -247 267.3
188 ыхр леренбхдхлнярх    -1825 -105 256.8
189 гдюмхе йдо р.1        -1139 -391 275.0
190 аепегш                -1394 -286 270.5
191 гдюмхе йдо р.2        -1147 -391 275.1
192 ткчцеп мю йдо         -1143 -394 285.5
193 юмреммю мю йдо        -1143 -396 283.0
194 аепегш                -1367 -316 272.1
195 люврю нябеыемхъ       -495 -685 267.0
196 ыхр леренбхдхлнярх    -1924 -105 256.8
197 гдюмхе цнярхмхжш      -963 -510 266.4
198 кеянонкняю            -1617 -242 263.7
199 гдюмхе цнярхмхжш      -977 -510 266.5
200 ярпнъыееяъ гдюмхе     -1249 -397 261.5
201 ярпнъыееяъ гдюмхе     -1236 -410 261.4
202 депебэъ(аепегш)       -1554 -303 271.1
203 рс-154(гнмю пля)      -1995 -120 259.8
204 ярпнъыееяъ гдюмхе     -1290 -429 262.0
205 аернммюъ ябюъ ак      -1270 -449 265.1
206 люврю нябеыемхе       1428 -1589 257.3
207 депебэъ аепегш        -1567 -344 272.1
208 кеянонкняю            -1665 -304 262.6
209 рнонкэ                -1643 -313 269.2
210 рс-154(гнмю пля)      -1995 -168 265.3
211 аепегш                -1351 -438 273.5
212 люврю тх-2            -2098 -131 259.1
213 янямш                 -1571 -352 270.8
214 аернммюъ ябюъ дюк     -1306 -485 265.1
215 асдйю тх-2            -2200 -128 257.0
216 ткчцеп                -2145 -161 262.7
217 гдюмхе бядо59 р.1     -2208 -136 259.8
218 гдюмхе бядо59 р.2     -2214 -136 259.8
219 юмреммю мю гдюмхх     -2210 -143 263.4
220 янямш                 -1637 -396 269.0
221 ткчцеп                -2280 -139 263.2
222 кеянонкняю            -1684 -394 263.2
223 янямш                 -1662 -425 267.5
224 онярпнийю йм р.1      -2069 -256 257.3
225 онярпнийю йм р.2      -2082 -252 257.4
226 юбрнлнахкэ мю днпн    -3532 314 250.7
227 рнонкэ                -1787 -414 268.5
228 екэ                   -1700 -458 266.4
229 ро р.1                -2095 -295 258.0
230 кеянонкняю            -2266 -228 263.7
231 ро р.2                -2114 -296 258.2
232 мюакчдюрекэмюъ бшь    -1952 -370 261.2
233 янямш                 -1671 -490 266.1
234 люврю нябеыемхе       1336 -1759 257.7
235 депебэъ               -2198 -288 272.8
236 рнонкэ                -1997 -377 270.2
237 кеянонкняю            -2252 -275 266.1
238 аепегю                -1864 -441 267.3
239 рнонкэ                -2102 -345 272.6
240 депебэъ               -2213 -309 272.2
241 аепегю                -1987 -405 267.7
242 юбрнлнахкэ мю днп     -3576 247 250.5
243 кеянонкняю            -2271 -307 263.2
244 депебэъ               -2197 -343 271.3
245 люврю нябеыемхъ       -742 -985 265.4
246 юмреммю(ярнийю 18)    -3156 21 251.6
247 юмреммю йпл239        -3170 4 252.6
248 кеянонкняю            -2280 -370 264.9
249 юмреммю йпл239        -3169 -4 252.6
250 юмреммю(ярнийю 1)     -3157 -20 251.7
251 люврю аопл59 р.2      -3262 5 252.9
252 ро аопл59 р.1         -3273 -3 251.0
253 люврю аопл59 р.1      -3297 6 252.5
254 ро аопл59 р1          -3286 -3 251.0
255 юбрнлнахкэ мю днп     -3640 141 250.9
256 юбрнлнахкэ мю днп     -3599 118 251.0
257 кеянонкняю            -2326 -414 265.0
258 юбрнлнахкэ мю днп     -3517 72 250.9
259 юбрнлнахкэ мю днп     -3458 39 250.6
260 кеянонкняю            -4174 333 260.1
261 юбрнлнахкэ мю днп     -3405 10 250.7
262 кеянонкняю            -3884 206 263.5
263 юбрнлнахкэ мю днп     -3331 -31 251.0
264 юбрнлнахкэ мю днп     -3271 -64 251.4
265 кеянонкняю            -3698 105 255.8
266 юбрнлнахкэ мю днп     -3203 -102 252.2
267 юбрнлнахкэ мю днп     -3135 -138 252.9
268 кеянонкняю            -3312 -106 255.0
269 кеянонкняю            -3541 -26 259.8
270 кеянонкняю 6          -3120 -202 261.6
271 кеянонкняю 5          -3035 -259 265.5
272 кеянонкняю 4          -2913 -320 266.1
273 кеянонкняю            -3563 -67 258.5
274 рпсаю йнрекэмни       -138 -1500 268.7
275 кеянонкняю 3          -2621 -492 271.8
276 кеянонкняю 2          -2317 -649 272.8
277 кеянонкняю 1          -2098 -763 267.7
278 гюбнд желемрмши       -352 -1518 271.9
279 люврю нябеыемхе       1068 -2164 259.7
280 кеянонкняю            -3642 -212 259.8
281 люврю пядм            -8574 1832 306.0
282 люврю пядм            -8788 1854 307.8
283 кеянонкняю            -3694 -309 261.3
284 яхцмюк цендегхвеяй    -422 -1707 274.4
285 люврю пядм            -8595 1626 308.8
286 бнднмюонпмюъ аюьмъ    -2174 -1075 270.6
287 бнднмюонпмюъ аюьмъ    -965 -1578 270.7
288 люврю пядм            -8805 1644 309.9
289 бнднмюонпмюъ аюьмъ    -8059 964 283.0
290 бнднмюонпмюъ аюьмъ    -6565 123 280.9
291 бнднмюонпмюъ аюьмъ    -8524 910 282.3
292 бнднмюонпмюъ аюьмъ    -6577 78 281.9
293 бнднмюонпмюъ аюьмъ    -5617 -460 261
294 люврю допл 59         -6797 23 287.3
295 люврю допл 59         -6805 -66 287.1
296 бнднмюонпмюъ аюьмъ    -8906 773 275.8
297 бнднмюонпмюъ аюьмъ    -6497 -466 278.7
298 рпсаю б лер.йюпйюя    1339 -3883 278.2
299 рпсаю рщж3(мхгйюъ)    1720 -4501 365.4
300 рпсаю рщж3(бшянйюъ    1731 -4635 447.4
301 лер.йнмярпсйжхъ       -12618 768 295.2
302 люврю ябъгх           1073 -5616 309.8
303 люврю яя              -14354 120 324.8
304 люврю                 -14276 -547 290.9
305 лер.йнмярпсйжхъ       -14828 -650 291.3
306 люврю яя              -21487 1993 310.9
307 рекебшьйю             10009 -12073 409.9
